TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN
Journal of China University of Mining and Technology,A,1006-1266,,,,Journal of China University of Mining and Technology,F,10061266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南方人口,A,1004-1613,,,,南方人口,I,1004-1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transactions of Nonferrous Metals Society of China,A,1003-6326,,,,Transactions of Nonferrous Metals Society of China,F,10036326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Chemical Letters,A,1001-8417,,,,Chinese Chemical Letters,F,10018417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Journal of Geochemistry,A,1000-9426,,,,Chinese Journal of Geochemistry,P,1000-9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Journal of Physics,A,0577-9073,,,,Chinese Journal of Physics,F,05779073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Mechanica Solida Sinica,A,0894-9166,,,,Acta Mechanica Solida Sinica,F,08949166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Chinese Institute of Chemical Engineers,A,0368-1653,,,,Journal of the Chinese Institute of Chemical Engineers,F,03681653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scandinavian Journal of Work, Environment & Health",A,0355-3140,,,,"Scandinavian Journal of Work, Environment & Health",K,0355-3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高等理科教育,A,1000-4076,,,,高等理科教育,I,1000-4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同位素,A,1000-7512,,,,同位素,I,1000-7512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Journal of Chemical Engineering,A,1004-9541,,,,Chinese Journal of Chemical Engineering,F,10049541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Civil Engineering,A,1687-8086,,,,Advances in Civil Engineering,J,1687-8086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Power Electronics,A,2090-181X,,,,Advances in Power Electronics,J,2090-181X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Aerospace Engineering,A,1687-5966,,,,International Journal of Aerospace Engineering,P,1687-5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Vehicular Technology,A,1687-5702,,,,International Journal of Vehicular Technology,J,1687-5702,,,,International Journal of Vehicular Technology,P,1687-5702,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Robotics,A,1687-9600,,,,Journal of Robotics,J,1687-9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in OptoElectronics,A,1687-563X,,,,Advances in OptoElectronics,J,1687-563X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Optical Technologies,A,1687-6393,,,,Advances in Optical Technologies,J,1687-6393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLSI Design,A,1065-514X,,,,VLSI Design,J,1065-514X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Metallurgy,A,1687-9465,,,,Journal of Metallurgy,J,1687-9465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Rotating Machinery,A,1023-621X,,,,International Journal of Rotating Machinery,P,1023-621X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Sensors,A,1687-725X,,,,Journal of Sensors,J,1687-725X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematical Problems in Engineering,A,1024-123X,,,,Mathematical Problems in Engineering,P,1024-123X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Agronomy,A,1687-8159,,,,International Journal of Agronomy,P,1687-8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology Research International,A,2090-3138,,,,Biotechnology Research International,P,2090-3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Biophysics,A,1687-8000,,,,Journal of Biophysics,P,1687-8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Plant Genomics,A,1687-5370,,,,International Journal of Plant Genomics,P,1687-5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Evolutionary Biology,A,2090-052X,,,,International Journal of Evolutionary Biology,P,2090-052X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Zoology,A,1687-8477,,,,International Journal of Zoology,P,1687-8477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaea,A,1472-3646,,,,Archaea,K,1472-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Botany,A,2090-0120,,,,Journal of Botany,P,2090-0120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetics Research International,A,2090-3154,,,,Genetics Research International,P,2090-3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stem Cells International,A,1687-966X,,,,Stem Cells International,P,1687-966X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPAR Research,A,1687-4757,,,,PPAR Research,P,1687-4757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary Medicine,A,2090-1836,,,,Pulmonary Medicine,P,2090-1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛇志,A,1001-5639,,,,蛇志,I,1001-5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botanical Studies,A,1817-406X,,,,Botanical Studies,P,1817-406X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Bioinformatics,A,1687-8027,,,,Advances in Bioinformatics,J,1687-8027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Sciences in China,A,1671-2927,,,,Agricultural Sciences in China,F,16712927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildlife Biology,A,0909-6396,,,,Wildlife Biology,P,0909-6396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民族研究,A,0256-1891,,,,民族研究,I,0256-1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口研究,A,1000-6087,,,,人口研究,I,1000-6087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教育探索,A,1002-0845,,,,教育探索,I,1002-0845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青年探索,A,1004-3780,,,,青年探索,I,1004-3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chinese Journal of Population,Resources and Environment",A,1004-2857,,,,"Chinese Journal of Population,Resources and Environment",I,1004-2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
航海教育研究,A,1006-8724,,,,航海教育研究,I,1006-8724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西北人口,A,1007-0672,,,,西北人口,I,1007-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific Management Review,A,1029-3132,,,,Asia Pacific Management Review,L,1029-3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高校招生,A,1671-2293,,,,高校招生,I,1671-2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高校教育管理,A,1673-8381,,,,高校教育管理,I,1673-8381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics & Sociology,A,2071-789X,,,,Economics & Sociology,Q,2071-789X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scholedge International Journal of Business Policy & Governance,A,2394-3351,,,,Scholedge International Journal of Business Policy & Governance,L,2394-3351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scholedge International Journal of Management & Development,A,2394-3378,,,,Scholedge International Journal of Management & Development,L,2394-3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游泳,A,1000-3495,,,,游泳,I,1000-3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
思想政治教育研究,A,1672-9749,,,,思想政治教育研究,I,1672-9749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Operations Research,A,1687-9147,,,,Advances in Operations Research,J,1687-9147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics Research International,A,2090-2123,,,,Economics Research International,P,2090-2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Dental Sciences,A,1991-7902,,,,Journal of Dental Sciences,H,1991-7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Acute Medicine,A,2211-5587,,,,Journal of Acute Medicine,H,2211-5587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Expression to Genetical Genomics,A,1179-5697,,,,Gene Expression to Genetical Genomics,P,1179-5697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Translational Oncogenomics,A,1177-2727,,,,Translational Oncogenomics,P,1177-2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell & Tissue Transplantation & Therapy,A,1179-0687,,,,Cell & Tissue Transplantation & Therapy,P,1179-0687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Ophthalmology,A,2090-004X,,,,Journal of Ophthalmology,P,2090-004X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Microbiology,A,1687-918X,,,,International Journal of Microbiology,P,1687-918X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Pediatrics,A,1687-9740,,,,International Journal of Pediatrics,P,1687-9740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediators of Inflammation,A,0962-9351,,,,Mediators of Inflammation,K,0962-9351,,,,Mediators of Inflammation,P,0962-9351,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycobiology Insights,A,1179-2515,,,,Glycobiology Insights,P,1179-2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Medicine Insights: Geriatrics,A,1179-5530,,,,Clinical Medicine Insights: Geriatrics,P,1179-5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Communication Insights,A,1179-5689,,,,Cell Communication Insights,P,1179-5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Reports in Medicine,A,1687-9627,,,,Case Reports in Medicine,P,1687-9627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of pioneering medical sciences,A,2309-7981,,,,Journal of Pioneering Medical Sciences,P,2309-7981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
