TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN
U.S. Army Medical Department Journal,K,1524-0436,,,,U.S. Army Medical Department Journal,P,1524-0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. News & World Report,L,0041-5537,,,,U.S. News & World Report,P,0041-5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. News - The Civic Report,L,,,,,U.S. News - The Civic Report,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. News - The Report,L,,,,,U.S. News - The Report,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. News Digital Weekly,L,,,,,U.S. News Digital Weekly,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultrastructural Pathology,K,0191-3123,,,,Ultrastructural Pathology,P,0191-3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Understanding Statistics,L,1534-844X,,,,Understanding Statistics,P,1534-844X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNESCO Courier,L,0041-5278,,,,UNESCO Courier,P,0041-5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universia Business Review,L,1698-5117,,,,Universia Business Review,P,1698-5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universitas Humanistica,P,0120-4807,,,,Universitas Humanistica,Q,0120-4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Chicago Law Review,L,0041-9494,,,,University of Chicago Law Review,P,0041-9494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Pennsylvania Law Review,L,0041-9907,,,,University of Pennsylvania Law Review,P,0041-9907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Toronto Quarterly,P,0042-0247,,,,University of Toronto Quarterly,S,0042-0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIX Update,J,,,,,UNIX Update,L,,,,,UNIX Update,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV Gaming Research & Review Journal,J,1535-7589,,,,UNLV Gaming Research & Review Journal,L,1535-7589,,,,UNLV Gaming Research & Review Journal,P,1535-7589,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,L,0301-5718,,,,Update,P,0301-5718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Review,E,0042-0972,,,,Urban Review,P,0042-0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Studies (Routledge),L,0042-0980,,,,Urban Studies (Routledge),P,0042-0980,,,,Urban Studies (Routledge),Q,0042-0980,,,,Urban Studies (Routledge),S,0042-0980,,,,,,,,,,,,,,,,,,,,,
Urology Journal,K,1735-1308,,,,Urology Journal,P,1735-1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utopian Studies,N,1045-991X,,,,Utopian Studies,P,1045-991X,,,,Utopian Studies,S,1045-991X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velvet Light Trap: A Critical Journal of Film & Television,P,0149-1830,,,,Velvet Light Trap: A Critical Journal of Film & Television,S,0149-1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinary & Comparative Oncology,K,1476-5810,,,,Veterinary & Comparative Oncology,P,1476-5810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorian Poetry,N,0042-5206,,,,Victorian Poetry,P,0042-5206,,,,Victorian Poetry,S,0042-5206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorian Studies,N,0042-5222,,,,Victorian Studies,P,0042-5222,,,,Victorian Studies,S,0042-5222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video Systems,J,0361-0942,,,,Video Systems,P,0361-0942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Magazine of History & Biography,P,0042-6636,,,,Virginia Magazine of History & Biography,S,0042-6636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Quarterly Review,E,0042-675X,,,,Virginia Quarterly Review,N,0042-675X,,,,Virginia Quarterly Review,P,0042-675X,,,,Virginia Quarterly Review,S,0042-675X,,,,,,,,,,,,,,,,,,,,,
Virology Journal,K,1743-422X,,,,Virology Journal,P,1743-422X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virulence,K,2150-5594,,,,Virulence,P,2150-5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Anthropology,N,0894-9468,,,,Visual Anthropology,P,0894-9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Anthropology Review,N,1058-7187,,,,Visual Anthropology Review,P,1058-7187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Cognition,E,1350-6285,,,,Visual Cognition,P,1350-6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Studies,P,1472-586X,,,,Visual Studies,Q,1472-586X,,,,Visual Studies,S,1472-586X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivarium,P,0042-7543,,,,Vivarium,S,0042-7543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vojnosanitetski Pregled: Military Medical & Pharmaceutical Journal of Serbia,K,0042-8450,,,,Vojnosanitetski Pregled: Military Medical & Pharmaceutical Journal of Serbia,P,0042-8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volta Review,E,0042-8639,,,,Volta Review,P,0042-8639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vox Sanguinis,K,0042-9007,,,,Vox Sanguinis,P,0042-9007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"War, Literature & the Arts: An International Journal of the Humanities",P,1046-6967,,,,"War, Literature & the Arts: An International Journal of the Humanities",S,1046-6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Monthly,L,0043-0633,,,,Washington Monthly,P,0043-0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water & Environment International,L,0969-9775,,,,Water & Environment International,P,0969-9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Intelligence & Agent Systems,J,1570-1263,,,,Web Intelligence & Agent Systems,P,1570-1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Intelligence (2405-6456),J,2405-6456,,,,Web Intelligence (2405-6456),P,2405-6456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly Epidemiological Record,K,0049-8114,,,,Weekly Epidemiological Record,P,0049-8114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welt des Islams,P,0043-2539,,,,Welt des Islams,S,0043-2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Indian Journal of Engineering,J,0511-5728,,,,West Indian Journal of Engineering,P,0511-5728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Journal of Black Studies,P,0197-4327,,,,Western Journal of Black Studies,Q,0197-4327,,,,Western Journal of Black Studies,S,0197-4327,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster Studies in Education,E,0140-6728,,,,Westminster Studies in Education,P,0140-6728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Quarterly,N,0363-3276,,,,Wilson Quarterly,P,0363-3276,,,,Wilson Quarterly,S,0363-3276,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windows Watcher,J,1054-0784,,,,Windows Watcher,P,1054-0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wireless Review,J,1099-9248,,,,Wireless Review,L,1099-9248,,,,Wireless Review,P,1099-9248,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women & Environments International Magazine,P,1499-1993,,,,Women & Environments International Magazine,Q,1499-1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in Business,L,0043-7441,,,,Women in Business,P,0043-7441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in German Yearbook,P,1058-7446,,,,Women in German Yearbook,S,1058-7446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Review of Books,P,0738-1433,,,,Women's Review of Books,S,0738-1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Studies,P,0049-7878,,,,Women's Studies,Q,0049-7878,,,,Women's Studies,S,0049-7878,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wordsworth Circle,P,0043-8006,,,,Wordsworth Circle,S,0043-8006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work & Stress,E,0267-8373,,,,Work & Stress,L,0267-8373,,,,Work & Stress,P,0267-8373,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce,L,2331-2793,,,,Workforce,P,2331-2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce (10928332),L,1092-8332,,,,Workforce (10928332),P,1092-8332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce Management,L,1547-5565,,,,Workforce Management,P,1547-5565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Journal of Biological Psychiatry,K,1562-2975,,,,World Journal of Biological Psychiatry,P,1562-2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Literature Today,P,0196-3570,,,,World Literature Today,S,0196-3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Policy Journal,L,0740-2775,,,,World Policy Journal,P,0740-2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Watch,P,0896-0615,,,,World Watch,Q,0896-0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worldviews: Global Religions, Culture & Ecology",P,1363-5247,,,,"Worldviews: Global Religions, Culture & Ecology",S,1363-5247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wound Repair & Regeneration,K,1067-1927,,,,Wound Repair & Regeneration,P,1067-1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writer (Kalmbach Publishing Co.),P,0043-9517,,,,Writer (Kalmbach Publishing Co.),S,0043-9517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xenobiotica,K,0049-8254,,,,Xenobiotica,P,0049-8254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xenotransplantation,K,0908-665X,,,,Xenotransplantation,P,0908-665X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Internet Life,J,1088-0070,,,,Yahoo! Internet Life,L,1088-0070,,,,Yahoo! Internet Life,P,1088-0070,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2000 Practitioner,L,1096-4479,,,,Year 2000 Practitioner,P,1096-4479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Studies Australia,P,1038-2569,,,,Youth Studies Australia,Q,1038-2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoonoses & Public Health,K,1863-1959,,,,Zoonoses & Public Health,P,1863-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygon: Journal of Religion & Science,E,0591-2385,,,,Zygon: Journal of Religion & Science,P,0591-2385,,,,Zygon: Journal of Religion & Science,S,0591-2385,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Galleries & Artists of the South,N,,,,,Art Galleries & Artists of the South,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Art, Design & Communication in Higher Education",N,1474-273X,,,,"Art, Design & Communication in Higher Education",R,1474-273X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtAsiaPacific,N,1039-3625,,,,ArtAsiaPacific,S,1039-3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artivate: A Journal of Entrepreneurship in the Arts,L,2164-7747,,,,Artivate: A Journal of Entrepreneurship in the Arts,N,2164-7747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts Journal: Critical Perspectives on Contemporary Literature, Art & Culture of Guyana & the Caribbean",N,1728-7723,,,,"Arts Journal: Critical Perspectives on Contemporary Literature, Art & Culture of Guyana & the Caribbean",S,1728-7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Film Review,L,0887-5723,,,,Black Film Review,N,0887-5723,,,,Black Film Review,R,0887-5723,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Crossings,N,0831-2559,,,,Border Crossings,S,0831-2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract,L,1530-6224,,,,Contract,N,1530-6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Review,L,0262-1037,,,,Creative Review,N,0262-1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Spirit: A Journal of the Arts & Faith,N,1551-5753,,,,Creative Spirit: A Journal of the Arts & Faith,S,1551-5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Week,L,0950-3676,,,,Design Week,N,0950-3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Week (Online Edition),L,,,,,Design Week (Online Edition),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design: Retail,L,2332-726X,,,,Design: Retail,N,2332-726X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display & Design Ideas,L,1049-9172,,,,Display & Design Ideas,N,1049-9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estetika: The Central European Journal of Aesthetics,N,0014-1291,,,,Estetika: The Central European Journal of Aesthetics,S,0014-1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film & History (03603695),N,0360-3695,,,,Film & History (03603695),R,0360-3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Culture,N,0015-1211,,,,Film Culture,R,0015-1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film History,N,0892-2160,,,,Film History,R,0892-2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesperia,N,0018-098X,,,,Hesperia,S,0018-098X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality Design,L,1062-9524,,,,Hospitality Design,N,1062-9524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing & Society,N,0888-2746,,,,Housing & Society,Q,0888-2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Arts Management,L,1480-8986,,,,International Journal of Arts Management,N,1480-8986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Design,J,1991-3761,,,,International Journal of Design,N,1991-3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Film & Video,N,0742-4671,,,,Journal of Film & Video,R,0742-4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Media Practice,N,1468-2753,,,,Journal of Media Practice,R,1468-2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Fantastic in the Arts,N,0897-0521,,,,Journal of the Fantastic in the Arts,S,0897-0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koreana,N,1016-0744,,,,Koreana,S,1016-0744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landscape Journal,L,0277-2426,,,,Landscape Journal,N,0277-2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Design,L,1559-2359,,,,Live Design,N,1559-2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media Practice & Education,N,2574-1136,,,,Media Practice & Education,R,2574-1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Music, Sound & the Moving Image",N,1753-0768,,,,"Music, Sound & the Moving Image",S,1753-0768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nineteenth Century Theatre & Film,N,1748-3727,,,,Nineteenth Century Theatre & Film,S,1748-3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown Arts,N,1053-5012,,,,Provincetown Arts,S,1053-5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record of the Princeton University Art Museum,N,0032-843X,,,,Record of the Princeton University Art Museum,S,0032-843X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociologie de l' Art,N,0779-1674,,,,Sociologie de l' Art,Q,0779-1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaces of Creation,N,1822-1076,,,,Spaces of Creation,S,1822-1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textile History,N,0040-4969,,,,Textile History,S,0040-4969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPR: Town Planning Review,N,0041-0020,,,,TPR: Town Planning Review,S,0041-0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernacular Architecture,N,0305-5477,,,,Vernacular Architecture,S,0305-5477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacus,L,0001-3072,,,,Abacus,S,0001-3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountability in Research: Policies & Quality Assurance,K,0898-9621,,,,Accountability in Research: Policies & Quality Assurance,L,0898-9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Programming Languages & Systems,J,0164-0925,,,,ACM Transactions on Programming Languages & Systems,L,0164-0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Journal of Economics & Sociology,L,0002-9246,,,,American Journal of Economics & Sociology,Q,0002-9246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Machinist,J,1041-7958,,,,American Machinist,L,1041-7958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Printer,J,0744-6616,,,,American Printer,L,0744-6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Operations Research,J,0254-5330,,,,Annals of Operations Research,L,0254-5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive Industries,J,1099-4130,,,,Automotive Industries,L,1099-4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B to B,J,1530-2369,,,,B to B,L,1530-2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,J,0964-0185,,,,Baseline,L,0964-0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookseller,L,0006-7539,,,,Bookseller,S,0006-7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast Engineering,J,0007-1994,,,,Broadcast Engineering,L,0007-1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast Engineering (World Edition),J,,,,,Broadcast Engineering (World Edition),L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcasting & Cable,L,1068-6827,,,,Broadcasting & Cable,R,1068-6827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookings-Wharton Papers on Urban Affairs,L,1528-7084,,,,Brookings-Wharton Papers on Urban Affairs,Q,1528-7084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of the Association for Business Communication,L,8756-1972,,,,Bulletin of the Association for Business Communication,R,8756-1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business 2.0,J,1538-1730,,,,Business 2.0,L,1538-1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Communication Quarterly,L,1080-5699,,,,Business Communication Quarterly,R,1080-5699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Communications Review,J,0162-3885,,,,Business Communications Review,L,0162-3885,,,,Business Communications Review,R,0162-3885,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA Magazine,J,0317-6878,,,,CA Magazine,L,0317-6878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic Industry,J,0009-0220,,,,Ceramic Industry,L,0009-0220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certification Magazine,J,1529-6903,,,,Certification Magazine,L,1529-6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry & Industry,J,0009-3068,,,,Chemistry & Industry,L,0009-3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIO,J,0894-9301,,,,CIO,L,0894-9301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIO Insight,J,1535-0096,,,,CIO Insight,L,1535-0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Age,J,1040-7820,,,,Coal Age,L,1040-7820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Publishing,J,1055-9701,,,,Color Publishing,L,1055-9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication World,L,0744-7612,,,,Communication World,R,0744-7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational Optimization & Applications,J,0926-6003,,,,Computational Optimization & Applications,L,0926-6003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer & Internet Lawyer,J,1531-4944,,,,Computer & Internet Lawyer,L,1531-4944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Gaming World,J,0744-6667,,,,Computer Gaming World,L,0744-6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Lawyer,J,0742-1192,,,,Computer Lawyer,L,0742-1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Weekly,J,0010-4787,,,,Computer Weekly,L,0010-4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete Products,J,0010-5368,,,,Concrete Products,L,0010-5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary Argumentation & Debate,L,1088-498X,,,,Contemporary Argumentation & Debate,R,1088-498X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Solutions,J,1532-1274,,,,Control Solutions,L,1532-1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Solutions International,J,1546-1270,,,,Control Solutions International,L,1546-1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Development & Industrial Pharmacy,K,0363-9045,,,,Drug Development & Industrial Pharmacy,L,0363-9045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E&P,J,,,,,E&P,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-learning,J,1530-6399,,,,e-learning,L,1530-6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-Service Journal,J,1528-8226,,,,e-Service Journal,L,1528-8226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBRI Issue Brief,K,0887-137X,,,,EBRI Issue Brief,L,0887-137X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC&M Electrical Construction & Maintenance,J,0013-4260,,,,EC&M Electrical Construction & Maintenance,L,0013-4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Development & Cultural Change,L,0013-0079,,,,Economic Development & Cultural Change,Q,0013-0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronic Gaming Monthly (Ziff Davis, Inc.)",J,,,,,"Electronic Gaming Monthly (Ziff Davis, Inc.)",L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics Weekly,J,0013-5224,,,,Electronics Weekly,L,0013-5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Responsibilities & Rights Journal,L,0892-7545,,,,Employee Responsibilities & Rights Journal,Q,0892-7545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineer (00137758),J,0013-7758,,,,Engineer (00137758),L,0013-7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Design & Construction,J,1095-8932,,,,Environmental Design & Construction,L,1095-8932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Chemical News,J,0014-2875,,,,European Chemical News,L,0014-2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Work & Organizational Psychologist,E,0960-2003,,,,European Work & Organizational Psychologist,L,0960-2003,,,,European Work & Organizational Psychologist,Q,0960-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Company,J,1085-9241,,,,Fast Company,L,1085-9241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Engineering,J,1522-2292,,,,Food Engineering,L,1522-2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forging,J,1054-1756,,,,Forging,L,1054-1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontiers of Health Services Management,K,0748-8157,,,,Frontiers of Health Services Management,L,0748-8157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuzzy Optimization & Decision Making,J,1568-4539,,,,Fuzzy Optimization & Decision Making,L,1568-4539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Journal of Enterprise Information System,J,0975-153X,,,,Global Journal of Enterprise Information System,L,0975-153X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grounded Theory Review,L,1556-1542,,,,Grounded Theory Review,Q,1556-1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard Management Communication Letter,L,1524-5519,,,,Harvard Management Communication Letter,R,1524-5519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Financing Review,K,0195-8631,,,,Health Care Financing Review,L,0195-8631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Management Science,K,1386-9620,,,,Health Care Management Science,L,1386-9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Facilities Management,K,0899-6210,,,,Health Facilities Management,L,0899-6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Management Technology,J,1074-4770,,,,Health Management Technology,K,1074-4770,,,,Health Management Technology,L,1074-4770,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Executive,K,0883-5381,,,,Healthcare Executive,L,0883-5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEC Forum,K,0956-2737,,,,HEC Forum,L,0956-2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hfm (Healthcare Financial Management),K,0735-0732,,,,hfm (Healthcare Financial Management),L,0735-0732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Office,J,1324-4302,,,,Home Office,L,1324-4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydraulic & Mechanical MRO,J,1550-3232,,,,Hydraulic & Mechanical MRO,L,1550-3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imaging Update,J,0889-9142,,,,Imaging Update,L,0889-9142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Executive,J,1092-0374,,,,Information Executive,L,1092-0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Systems & e-Business Management,J,1617-9846,,,,Information Systems & e-Business Management,L,1617-9846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
